Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
China,2024.0,SQL Injection,Telecommunications,10.18,637350.0,Unknown,,Antivirus,52.0
China,2024.0,SQL Injection,IT,36.27,237068.0,Hacker Group,Zero-day,Encryption,65.0
Australia,2022.0,Ransomware,Government,92.07,819812.0,Nation-state,Unpatched Software,Encryption,63.0
Brazil,2023.0,SQL Injection,Healthcare,72.9,434510.0,Hacker Group,Social Engineering,Firewall,72.0
USA,2019.0,DDoS,Telecommunications,57.52,513601.0,Nation-state,Unpatched Software,VPN,14.0
Japan,2015.0,Malware,Healthcare,5.79,821803.0,Unknown,Social Engineering,Firewall,40.0
Russia,2020.0,Man-in-the-Middle,IT,14.68,12585.0,Unknown,Zero-day,Antivirus,30.0
Russia,2020.0,Man-in-the-Middle,Telecommunications,10.12,405253.0,Hacker Group,Unpatched Software,Antivirus,52.0
Japan,2017.0,DDoS,IT,86.89,,Unknown,Unpatched Software,Firewall,15.0
Australia,2022.0,Phishing,Government,9.84,580402.0,Nation-state,Social Engineering,VPN,70.0
France,2017.0,Man-in-the-Middle,Education,49.94,640572.0,Hacker Group,Social Engineering,Firewall,51.0
Japan,2023.0,Phishing,Banking,75.13,85528.0,Hacker Group,Social Engineering,VPN,55.0
UK,2024.0,Malware,Healthcare,33.21,79940.0,Unknown,Zero-day,Firewall,64.0
China,2023.0,,Telecommunications,54.41,215401.0,Hacker Group,Social Engineering,VPN,50.0
France,2018.0,Malware,IT,59.56,450313.0,Nation-state,Zero-day,AI-based Detection,26.0
Australia,2016.0,Malware,Retail,45.71,461668.0,Nation-state,Unpatched Software,Firewall,10.0
France,2021.0,Man-in-the-Middle,Banking,4.94,71156.0,Insider,Social Engineering,Encryption,34.0
India,2017.0,Ransomware,Government,89.47,201732.0,Unknown,Zero-day,Antivirus,39.0
Russia,2018.0,Man-in-the-Middle,Government,45.91,322132.0,Nation-state,Weak Passwords,Encryption,44.0
Japan,2021.0,Phishing,Banking,82.85,854309.0,Insider,Zero-day,Antivirus,16.0
USA,2016.0,Phishing,Retail,89.85,998085.0,Insider,Zero-day,VPN,7.0
France,2018.0,Malware,IT,10.81,479628.0,Insider,Weak Passwords,VPN,
Russia,2022.0,Malware,Healthcare,34.32,554162.0,Insider,Weak Passwords,Encryption,
USA,2022.0,Phishing,Government,92.54,653402.0,Hacker Group,Social Engineering,Firewall,5.0
UK,2016.0,Man-in-the-Middle,Government,62.9,119785.0,Hacker Group,Unpatched Software,Encryption,14.0
Germany,2018.0,,Banking,48.76,754656.0,Hacker Group,Unpatched Software,VPN,35.0
USA,2016.0,Malware,Retail,41.11,848855.0,Unknown,Unpatched Software,VPN,37.0
China,2021.0,SQL Injection,Healthcare,57.2,328454.0,Nation-state,Zero-day,VPN,10.0
Russia,2018.0,DDoS,Education,13.13,,Hacker Group,Weak Passwords,Firewall,15.0
Australia,2015.0,Man-in-the-Middle,Education,20.96,248083.0,Hacker Group,Social Engineering,Encryption,70.0
Brazil,2023.0,DDoS,Government,42.75,746425.0,Unknown,Zero-day,VPN,24.0
Japan,2018.0,Ransomware,Education,82.89,336607.0,Unknown,Zero-day,,17.0
Brazil,2021.0,Ransomware,Government,21.21,570810.0,Insider,Social Engineering,Firewall,72.0
France,2020.0,Malware,Banking,12.25,162930.0,Insider,Unpatched Software,Firewall,13.0
Japan,2015.0,SQL Injection,Education,61.87,244406.0,Nation-state,Social Engineering,VPN,43.0
Japan,2016.0,DDoS,Education,71.12,604557.0,Nation-state,Social Engineering,Encryption,20.0
Germany,2024.0,Man-in-the-Middle,Education,26.58,313397.0,Hacker Group,Social Engineering,AI-based Detection,36.0
Australia,2023.0,Malware,Retail,5.24,696902.0,Nation-state,Unpatched Software,Encryption,21.0
UK,2024.0,Phishing,Banking,30.39,156576.0,Hacker Group,Unpatched Software,VPN,72.0
UK,2020.0,Phishing,Healthcare,66.55,843310.0,Hacker Group,,Antivirus,71.0
China,2016.0,DDoS,Telecommunications,83.02,281862.0,Insider,Social Engineering,AI-based Detection,4.0
India,2024.0,Ransomware,IT,88.23,526308.0,Insider,Unpatched Software,Antivirus,23.0
Russia,2018.0,DDoS,IT,5.18,826924.0,Insider,Social Engineering,VPN,35.0
China,2024.0,DDoS,IT,13.77,928751.0,Insider,Social Engineering,Encryption,26.0
China,2021.0,Ransomware,Education,21.9,304804.0,Hacker Group,Weak Passwords,AI-based Detection,53.0
,2024.0,Man-in-the-Middle,Education,34.42,960625.0,Nation-state,Weak Passwords,Firewall,48.0
France,2019.0,Ransomware,Government,57.9,264088.0,Unknown,Weak Passwords,AI-based Detection,28.0
Australia,2022.0,Phishing,Healthcare,61.97,633750.0,Insider,Unpatched Software,Antivirus,45.0
China,2021.0,Ransomware,Healthcare,56.11,255531.0,Unknown,Social Engineering,Firewall,17.0
Australia,,Ransomware,Banking,50.64,,,Unpatched Software,Antivirus,38.0
USA,2017.0,DDoS,Healthcare,64.99,632431.0,Insider,Zero-day,VPN,55.0
Brazil,2018.0,Ransomware,Education,69.04,939146.0,Nation-state,Zero-day,Firewall,56.0
India,2022.0,Man-in-the-Middle,Retail,13.82,633855.0,Hacker Group,Social Engineering,Antivirus,37.0
Australia,2016.0,Malware,Government,22.48,686176.0,Nation-state,Zero-day,Firewall,62.0
China,2022.0,Malware,Retail,11.31,561807.0,Unknown,Zero-day,Antivirus,17.0
India,2023.0,SQL Injection,Government,60.53,15768.0,Unknown,Zero-day,VPN,66.0
Germany,2019.0,Malware,Healthcare,98.45,32423.0,Hacker Group,Weak Passwords,Antivirus,45.0
China,2021.0,SQL Injection,IT,97.06,329378.0,Nation-state,Weak Passwords,VPN,61.0
India,2020.0,Phishing,Healthcare,64.7,541451.0,Hacker Group,Weak Passwords,Encryption,17.0
China,2020.0,Man-in-the-Middle,Education,1.05,255393.0,Unknown,Unpatched Software,Encryption,71.0
Japan,2017.0,Phishing,Government,89.97,141115.0,Hacker Group,Zero-day,AI-based Detection,9.0
India,2015.0,Man-in-the-Middle,Telecommunications,48.58,358210.0,Nation-state,Zero-day,AI-based Detection,11.0
Japan,2023.0,Man-in-the-Middle,Education,16.42,60322.0,Insider,Zero-day,VPN,22.0
China,2019.0,Ransomware,Government,15.42,555153.0,Unknown,Zero-day,Encryption,11.0
India,2018.0,SQL Injection,Healthcare,,98266.0,Insider,Social Engineering,Firewall,18.0
Russia,2019.0,Man-in-the-Middle,IT,52.8,633511.0,Insider,Zero-day,VPN,58.0
UK,2015.0,Man-in-the-Middle,Banking,64.88,,Unknown,Social Engineering,Firewall,28.0
Brazil,2016.0,DDoS,Telecommunications,94.1,838739.0,Unknown,Social Engineering,VPN,21.0
China,2023.0,Ransomware,IT,23.18,367503.0,Nation-state,Weak Passwords,Encryption,17.0
China,2018.0,Ransomware,Education,17.44,598614.0,Insider,Social Engineering,,59.0
France,2022.0,Phishing,,22.72,629571.0,Hacker Group,Unpatched Software,VPN,41.0
Japan,2021.0,Man-in-the-Middle,Education,69.99,834355.0,Nation-state,Unpatched Software,AI-based Detection,71.0
USA,2020.0,Man-in-the-Middle,IT,87.88,731495.0,Nation-state,Unpatched Software,Antivirus,3.0
UK,2020.0,SQL Injection,Retail,69.91,354637.0,Insider,Social Engineering,VPN,63.0
USA,2020.0,Ransomware,Banking,27.45,60428.0,Nation-state,Weak Passwords,Antivirus,27.0
China,2024.0,DDoS,Retail,13.17,95351.0,Nation-state,Unpatched Software,Antivirus,11.0
Brazil,2020.0,Phishing,Retail,50.99,826159.0,Insider,Weak Passwords,VPN,3.0
France,2020.0,SQL Injection,Healthcare,66.92,234301.0,Insider,Zero-day,AI-based Detection,32.0
UK,2020.0,Phishing,Healthcare,39.47,551014.0,Nation-state,Social Engineering,Firewall,71.0
Brazil,2017.0,SQL Injection,Telecommunications,4.35,809757.0,Nation-state,Social Engineering,VPN,61.0
UK,2017.0,Malware,Healthcare,24.06,612319.0,Unknown,Social Engineering,Antivirus,47.0
UK,2015.0,Phishing,Telecommunications,,312051.0,Nation-state,Unpatched Software,VPN,41.0
USA,2018.0,Phishing,Banking,89.74,279786.0,Insider,,VPN,46.0
Australia,2016.0,Phishing,Government,72.34,847817.0,Hacker Group,Social Engineering,Firewall,13.0
Australia,2016.0,Man-in-the-Middle,Education,37.48,382682.0,Nation-state,Zero-day,Firewall,12.0
USA,2021.0,Phishing,IT,38.2,159917.0,Insider,Zero-day,Antivirus,47.0
France,2023.0,Man-in-the-Middle,Government,85.85,841548.0,Unknown,Zero-day,Firewall,68.0
Japan,2017.0,DDoS,Healthcare,5.5,751586.0,Nation-state,Social Engineering,AI-based Detection,24.0
Germany,2024.0,Man-in-the-Middle,Banking,53.51,680154.0,Nation-state,Zero-day,Firewall,2.0
France,2023.0,Phishing,Education,37.38,978508.0,Insider,Weak Passwords,Firewall,42.0
Germany,2020.0,Man-in-the-Middle,IT,84.55,392247.0,Unknown,Zero-day,Antivirus,7.0
Russia,2023.0,SQL Injection,Retail,34.87,446911.0,Unknown,Weak Passwords,Firewall,25.0
Australia,2023.0,Ransomware,IT,17.26,777799.0,Insider,Weak Passwords,Firewall,2.0
Australia,2016.0,Ransomware,Healthcare,,799581.0,Nation-state,Zero-day,AI-based Detection,50.0
Germany,2015.0,Man-in-the-Middle,Retail,85.34,819676.0,Hacker Group,Zero-day,Antivirus,59.0
Japan,2023.0,SQL Injection,Telecommunications,31.46,192430.0,Nation-state,Unpatched Software,AI-based Detection,49.0
UK,2016.0,DDoS,Telecommunications,74.5,735.0,Hacker Group,Unpatched Software,Firewall,69.0
USA,2023.0,Ransomware,Healthcare,12.79,654947.0,Insider,Social Engineering,Encryption,23.0
,2018.0,DDoS,Banking,10.01,327826.0,Hacker Group,Social Engineering,AI-based Detection,35.0
France,2016.0,Man-in-the-Middle,Healthcare,23.99,106126.0,Unknown,Weak Passwords,Antivirus,19.0
Russia,2022.0,Man-in-the-Middle,IT,34.57,46493.0,Insider,Unpatched Software,Encryption,62.0
Japan,2021.0,Man-in-the-Middle,Education,15.78,733307.0,Nation-state,Social Engineering,Firewall,29.0
France,2015.0,Malware,Government,71.91,789673.0,Unknown,Weak Passwords,Antivirus,31.0
China,2017.0,Ransomware,Education,64.93,159061.0,Insider,Weak Passwords,Firewall,
China,2020.0,Phishing,Education,6.35,80748.0,Hacker Group,Zero-day,Encryption,8.0
UK,2020.0,Man-in-the-Middle,IT,85.85,697536.0,Unknown,Social Engineering,AI-based Detection,72.0
Brazil,2019.0,SQL Injection,Healthcare,46.5,748146.0,Insider,Weak Passwords,AI-based Detection,13.0
Russia,2020.0,Man-in-the-Middle,Telecommunications,64.39,803579.0,Unknown,Weak Passwords,VPN,1.0
France,2021.0,Phishing,Retail,13.47,537683.0,Insider,Unpatched Software,VPN,41.0
France,2020.0,DDoS,Retail,40.72,743271.0,Nation-state,Social Engineering,Firewall,10.0
Australia,2018.0,Malware,Telecommunications,36.01,215231.0,Unknown,Zero-day,AI-based Detection,
,2022.0,Phishing,Banking,57.89,135941.0,Nation-state,Social Engineering,AI-based Detection,7.0
USA,2017.0,Phishing,IT,7.95,362478.0,Hacker Group,Zero-day,Encryption,67.0
Russia,2022.0,DDoS,Education,13.89,537149.0,Nation-state,Unpatched Software,VPN,54.0
China,2016.0,SQL Injection,Retail,96.28,162061.0,Insider,Zero-day,Firewall,32.0
China,2016.0,Ransomware,Banking,94.63,455702.0,Hacker Group,Weak Passwords,Antivirus,5.0
UK,2021.0,Ransomware,Telecommunications,13.26,448367.0,Nation-state,Social Engineering,AI-based Detection,7.0
France,2019.0,Malware,Retail,21.92,603904.0,Nation-state,Unpatched Software,Firewall,38.0
France,2016.0,Malware,IT,81.81,331741.0,Hacker Group,Social Engineering,Antivirus,29.0
Japan,2023.0,Ransomware,Education,58.79,983506.0,Hacker Group,Social Engineering,AI-based Detection,35.0
China,2015.0,Phishing,Retail,14.72,914743.0,Insider,Social Engineering,AI-based Detection,69.0
Germany,2022.0,Malware,Banking,59.7,258587.0,Insider,Social Engineering,VPN,7.0
Brazil,2020.0,Man-in-the-Middle,Retail,16.26,527964.0,Insider,Zero-day,Firewall,28.0
Brazil,2015.0,Phishing,Banking,29.61,,Unknown,Zero-day,Firewall,65.0
UK,2023.0,Malware,IT,82.38,386972.0,Insider,Unpatched Software,,56.0
China,2017.0,DDoS,Healthcare,96.49,644339.0,Insider,,Antivirus,71.0
Brazil,2024.0,DDoS,Healthcare,76.39,782425.0,Insider,Weak Passwords,Encryption,13.0
Russia,2024.0,SQL Injection,Banking,79.98,84185.0,Nation-state,,VPN,2.0
UK,2022.0,Malware,Healthcare,91.65,337120.0,Insider,Weak Passwords,Firewall,59.0
UK,2020.0,Phishing,Banking,3.84,241282.0,Hacker Group,Social Engineering,Encryption,55.0
China,2023.0,DDoS,Healthcare,97.15,734819.0,Unknown,Unpatched Software,AI-based Detection,50.0
Australia,2024.0,DDoS,Healthcare,77.04,8517.0,Hacker Group,Weak Passwords,Encryption,4.0
UK,,Man-in-the-Middle,Government,91.52,865257.0,Nation-state,Social Engineering,VPN,19.0
Germany,2023.0,SQL Injection,Education,37.4,662428.0,Insider,Weak Passwords,AI-based Detection,4.0
China,2020.0,Malware,Healthcare,,,Insider,Unpatched Software,VPN,15.0
USA,2019.0,DDoS,Telecommunications,43.29,266748.0,Unknown,Unpatched Software,Antivirus,30.0
USA,2022.0,Ransomware,,92.88,771367.0,Hacker Group,Social Engineering,Firewall,5.0
USA,2020.0,DDoS,Banking,99.81,948174.0,Unknown,Social Engineering,AI-based Detection,4.0
Brazil,2017.0,DDoS,Healthcare,62.74,460264.0,Unknown,,Firewall,9.0
USA,2017.0,DDoS,Government,96.89,794147.0,Unknown,Unpatched Software,Antivirus,4.0
France,2015.0,SQL Injection,IT,43.86,72222.0,Unknown,Weak Passwords,Firewall,64.0
France,2020.0,DDoS,Telecommunications,66.27,995231.0,Nation-state,Weak Passwords,Firewall,53.0
Japan,2021.0,Malware,Retail,90.8,841766.0,Nation-state,Social Engineering,AI-based Detection,16.0
Russia,2015.0,Man-in-the-Middle,IT,95.04,566542.0,Unknown,Weak Passwords,Firewall,58.0
UK,2022.0,Malware,Healthcare,12.67,781284.0,Hacker Group,Weak Passwords,Firewall,11.0
UK,2021.0,Phishing,IT,89.59,361270.0,Nation-state,Weak Passwords,VPN,31.0
India,2022.0,Malware,Telecommunications,97.03,404834.0,Hacker Group,Zero-day,VPN,62.0
China,2023.0,DDoS,Government,53.46,374484.0,Unknown,,Antivirus,46.0
Australia,2020.0,SQL Injection,IT,21.02,681476.0,Unknown,Weak Passwords,VPN,6.0
India,2019.0,SQL Injection,Retail,15.39,514826.0,Hacker Group,Unpatched Software,Firewall,72.0
Japan,2022.0,Malware,Education,97.32,742866.0,Nation-state,Social Engineering,Encryption,61.0
UK,2016.0,Ransomware,Healthcare,61.66,639896.0,Hacker Group,Social Engineering,VPN,63.0
Australia,2022.0,SQL Injection,IT,15.29,42346.0,Hacker Group,Unpatched Software,VPN,33.0
Japan,2019.0,Malware,Telecommunications,5.88,235399.0,Unknown,Social Engineering,Antivirus,21.0
USA,2015.0,Man-in-the-Middle,Retail,24.93,448426.0,Nation-state,Weak Passwords,VPN,36.0
France,2020.0,Ransomware,Retail,97.37,467137.0,Nation-state,Social Engineering,Encryption,14.0
Japan,2017.0,SQL Injection,Education,11.49,364107.0,Hacker Group,,AI-based Detection,28.0
India,2022.0,Man-in-the-Middle,Government,4.05,357898.0,Hacker Group,Social Engineering,Firewall,27.0
China,2016.0,DDoS,Banking,76.9,605118.0,Insider,Social Engineering,Firewall,30.0
Russia,2022.0,Man-in-the-Middle,Education,96.44,106169.0,Nation-state,Unpatched Software,Encryption,28.0
France,2016.0,Ransomware,Healthcare,34.29,157547.0,Insider,Unpatched Software,AI-based Detection,29.0
Brazil,2022.0,SQL Injection,Healthcare,56.63,242677.0,Insider,Social Engineering,Encryption,21.0
China,2016.0,SQL Injection,Banking,63.67,385872.0,Insider,Zero-day,Firewall,50.0
Germany,2018.0,DDoS,Retail,80.85,148209.0,Insider,Weak Passwords,Antivirus,54.0
Japan,2022.0,DDoS,Healthcare,9.5,387457.0,Nation-state,Weak Passwords,VPN,61.0
Russia,2023.0,Malware,IT,47.22,404004.0,Nation-state,Social Engineering,Encryption,
UK,2018.0,Ransomware,Retail,28.98,981029.0,Nation-state,Weak Passwords,Antivirus,42.0
France,2017.0,,Telecommunications,96.63,389525.0,,Zero-day,Antivirus,32.0
India,2019.0,SQL Injection,IT,43.97,764974.0,Nation-state,Weak Passwords,VPN,
India,2017.0,Man-in-the-Middle,Healthcare,91.4,621971.0,Nation-state,Weak Passwords,AI-based Detection,49.0
Brazil,2024.0,SQL Injection,IT,53.71,680584.0,Insider,Zero-day,AI-based Detection,5.0
China,2018.0,SQL Injection,Education,15.36,907858.0,Nation-state,,Encryption,47.0
Russia,2021.0,SQL Injection,Banking,80.68,983047.0,Hacker Group,Unpatched Software,Antivirus,19.0
France,2015.0,Malware,,17.3,610049.0,Hacker Group,Social Engineering,AI-based Detection,37.0
India,2021.0,SQL Injection,IT,52.16,100105.0,Unknown,Zero-day,Firewall,56.0
USA,2023.0,SQL Injection,Government,89.46,59398.0,Hacker Group,Zero-day,Antivirus,8.0
USA,2023.0,Malware,Banking,35.91,91974.0,Hacker Group,Zero-day,AI-based Detection,41.0
Brazil,2019.0,Ransomware,Healthcare,9.32,785564.0,Insider,Unpatched Software,Antivirus,70.0
China,2023.0,Phishing,Banking,15.21,597516.0,Nation-state,Unpatched Software,Antivirus,
UK,2019.0,Ransomware,IT,17.98,799372.0,Hacker Group,Zero-day,AI-based Detection,14.0
France,2018.0,SQL Injection,Banking,32.84,77096.0,Unknown,Weak Passwords,VPN,29.0
Brazil,2023.0,Man-in-the-Middle,Retail,59.18,610786.0,,Social Engineering,AI-based Detection,31.0
Japan,2021.0,SQL Injection,Telecommunications,28.33,667271.0,Insider,Weak Passwords,Firewall,22.0
China,2023.0,Phishing,Banking,33.27,133315.0,Nation-state,Weak Passwords,AI-based Detection,25.0
Brazil,2019.0,SQL Injection,Government,24.93,381105.0,Unknown,Weak Passwords,Encryption,3.0
UK,2020.0,Ransomware,Banking,98.07,795120.0,Unknown,Social Engineering,Firewall,42.0
Russia,2017.0,SQL Injection,Healthcare,67.13,198285.0,Nation-state,Unpatched Software,Encryption,56.0
,2023.0,DDoS,Government,34.46,580270.0,Unknown,Unpatched Software,Firewall,35.0
UK,2018.0,Ransomware,Retail,45.67,277410.0,Hacker Group,Social Engineering,Firewall,42.0
Australia,2022.0,Man-in-the-Middle,Government,38.29,793946.0,Nation-state,Weak Passwords,Firewall,12.0
Australia,2019.0,Ransomware,Banking,15.21,126770.0,Insider,Weak Passwords,Encryption,67.0
Australia,2016.0,Phishing,IT,55.18,66776.0,Unknown,Zero-day,Encryption,29.0
China,2018.0,DDoS,Telecommunications,83.5,434797.0,Insider,,Antivirus,21.0
France,2024.0,SQL Injection,Retail,3.07,901137.0,Nation-state,Zero-day,Antivirus,10.0
Australia,2020.0,Man-in-the-Middle,Banking,34.59,427407.0,Unknown,Unpatched Software,Encryption,47.0
USA,2021.0,Phishing,,28.75,,Unknown,Zero-day,Antivirus,35.0
Russia,2017.0,Man-in-the-Middle,IT,,12439.0,Nation-state,Weak Passwords,Firewall,20.0
Germany,2021.0,Man-in-the-Middle,Banking,14.45,292854.0,Nation-state,Unpatched Software,AI-based Detection,14.0
USA,2023.0,Malware,Banking,66.06,189116.0,Insider,Social Engineering,AI-based Detection,53.0
USA,2017.0,Phishing,Telecommunications,19.6,889404.0,Unknown,Weak Passwords,Firewall,60.0
USA,2017.0,Man-in-the-Middle,Retail,58.98,566242.0,Nation-state,Social Engineering,VPN,
Brazil,2015.0,SQL Injection,IT,86.67,694491.0,Unknown,Unpatched Software,Firewall,65.0
Australia,2015.0,DDoS,Education,,297721.0,Nation-state,,Antivirus,29.0
China,2024.0,SQL Injection,Education,13.61,394335.0,Unknown,Zero-day,Encryption,43.0
Japan,2016.0,Man-in-the-Middle,IT,57.14,590262.0,Insider,Unpatched Software,Antivirus,15.0
Germany,2015.0,DDoS,IT,91.79,846200.0,Unknown,Social Engineering,AI-based Detection,26.0
Japan,2017.0,Phishing,Telecommunications,89.85,44385.0,Hacker Group,Weak Passwords,AI-based Detection,18.0
UK,2021.0,Phishing,Banking,44.7,408446.0,Insider,Social Engineering,VPN,43.0
UK,2023.0,DDoS,Education,54.0,806965.0,Insider,Social Engineering,AI-based Detection,56.0
Russia,2018.0,Ransomware,Education,79.93,587346.0,Hacker Group,Social Engineering,Antivirus,39.0
Japan,2015.0,Phishing,Education,2.43,552342.0,Unknown,Zero-day,VPN,62.0
France,2019.0,DDoS,Education,66.65,47104.0,Insider,Social Engineering,VPN,5.0
USA,2016.0,DDoS,Retail,13.83,586557.0,Hacker Group,Social Engineering,AI-based Detection,37.0
Russia,2017.0,Malware,Government,2.65,500857.0,Hacker Group,,VPN,35.0
USA,2022.0,Man-in-the-Middle,Banking,65.51,977913.0,Hacker Group,Weak Passwords,Antivirus,70.0
,2021.0,Malware,Telecommunications,68.64,,Hacker Group,Social Engineering,Firewall,19.0
UK,2018.0,Man-in-the-Middle,IT,75.81,574089.0,Unknown,Unpatched Software,Firewall,32.0
USA,,DDoS,Healthcare,62.99,232622.0,Nation-state,Weak Passwords,Antivirus,33.0
India,2015.0,Malware,Retail,89.95,917351.0,Unknown,Zero-day,Encryption,43.0
Australia,2024.0,SQL Injection,IT,98.31,694333.0,Insider,Unpatched Software,VPN,48.0
India,2017.0,Ransomware,Government,38.87,968822.0,Nation-state,Weak Passwords,Antivirus,25.0
Brazil,2015.0,DDoS,Banking,18.87,976838.0,Unknown,Weak Passwords,Firewall,65.0
Australia,2019.0,DDoS,Education,54.63,22739.0,Insider,Unpatched Software,Firewall,44.0
UK,,Man-in-the-Middle,Retail,7.92,657442.0,Nation-state,Social Engineering,Firewall,29.0
Brazil,,Phishing,Education,57.59,257681.0,Nation-state,Zero-day,Antivirus,40.0
Japan,2021.0,Man-in-the-Middle,Retail,9.97,536471.0,Hacker Group,Weak Passwords,Encryption,72.0
France,2015.0,Ransomware,IT,84.02,824619.0,Unknown,Social Engineering,Firewall,21.0
Russia,2016.0,SQL Injection,Government,77.94,538804.0,Hacker Group,Weak Passwords,VPN,43.0
Japan,2023.0,Phishing,Healthcare,49.32,463704.0,Hacker Group,Weak Passwords,Firewall,14.0
China,2021.0,Man-in-the-Middle,Telecommunications,66.61,596341.0,Insider,Weak Passwords,AI-based Detection,9.0
Brazil,2020.0,Malware,Retail,89.71,529588.0,Nation-state,Weak Passwords,AI-based Detection,65.0
Germany,2018.0,Man-in-the-Middle,Retail,43.28,22241.0,Hacker Group,Zero-day,,5.0
Brazil,2020.0,Phishing,Banking,21.65,434936.0,Hacker Group,Zero-day,Encryption,24.0
Japan,2019.0,Malware,IT,33.61,52191.0,Nation-state,Weak Passwords,Antivirus,72.0
Australia,2015.0,Malware,Banking,8.24,242247.0,Insider,Social Engineering,Antivirus,29.0
Brazil,2020.0,,Banking,34.5,372427.0,Insider,Weak Passwords,VPN,72.0
Brazil,2021.0,Ransomware,Healthcare,67.25,796351.0,Nation-state,Weak Passwords,AI-based Detection,21.0
Japan,2020.0,SQL Injection,Telecommunications,38.29,505831.0,Hacker Group,Social Engineering,Encryption,40.0
Germany,2020.0,Malware,Government,32.59,743344.0,Insider,Zero-day,VPN,4.0
China,2017.0,Phishing,Healthcare,70.4,651809.0,Unknown,Unpatched Software,Firewall,17.0
Brazil,2023.0,SQL Injection,Telecommunications,31.54,839281.0,Insider,Weak Passwords,Encryption,25.0
Brazil,2018.0,SQL Injection,Retail,84.79,99876.0,Insider,Unpatched Software,Firewall,56.0
UK,2016.0,SQL Injection,Telecommunications,98.39,836521.0,Insider,Weak Passwords,Firewall,19.0
Japan,2022.0,SQL Injection,Retail,43.73,392831.0,Nation-state,Weak Passwords,AI-based Detection,71.0
China,2015.0,Ransomware,Government,86.88,99312.0,Unknown,Zero-day,AI-based Detection,60.0
Japan,2017.0,Malware,Education,26.24,945147.0,Insider,Zero-day,AI-based Detection,20.0
USA,2018.0,DDoS,IT,26.29,943039.0,Insider,Zero-day,Firewall,28.0
Brazil,2016.0,Malware,Retail,76.81,670642.0,Unknown,Unpatched Software,AI-based Detection,10.0
USA,2016.0,Malware,Banking,36.2,194553.0,Hacker Group,Social Engineering,AI-based Detection,48.0
China,2022.0,Ransomware,Education,49.56,257224.0,Hacker Group,Social Engineering,Firewall,46.0
India,2019.0,DDoS,Banking,,891815.0,Unknown,Weak Passwords,Antivirus,19.0
China,2020.0,Ransomware,,98.05,168617.0,Hacker Group,Unpatched Software,VPN,16.0
UK,2016.0,Ransomware,Government,,701152.0,Nation-state,Social Engineering,Firewall,53.0
USA,2023.0,SQL Injection,Banking,30.66,749609.0,Nation-state,Zero-day,AI-based Detection,28.0
UK,2024.0,Man-in-the-Middle,Government,86.74,658712.0,Hacker Group,Unpatched Software,,25.0
China,2022.0,DDoS,Retail,77.74,642501.0,Hacker Group,Zero-day,AI-based Detection,19.0
Australia,2017.0,Malware,Banking,92.65,817255.0,Hacker Group,Weak Passwords,Antivirus,62.0
China,2021.0,Ransomware,Government,5.96,92237.0,Nation-state,Weak Passwords,AI-based Detection,47.0
Australia,2023.0,Man-in-the-Middle,Telecommunications,66.91,156195.0,Nation-state,Unpatched Software,Firewall,58.0
India,2016.0,Man-in-the-Middle,IT,23.38,618125.0,Nation-state,Zero-day,VPN,16.0
Australia,2021.0,Man-in-the-Middle,Banking,82.04,828293.0,Insider,Weak Passwords,Antivirus,64.0
Brazil,2017.0,Malware,Telecommunications,6.09,436100.0,Unknown,Zero-day,,
USA,2020.0,DDoS,Retail,14.12,787194.0,Unknown,Zero-day,VPN,51.0
France,2021.0,Phishing,Retail,31.52,380086.0,Nation-state,Social Engineering,Encryption,65.0
India,2024.0,Malware,Healthcare,13.74,330581.0,Unknown,Zero-day,AI-based Detection,54.0
Australia,2017.0,SQL Injection,IT,99.99,672966.0,Hacker Group,Zero-day,Firewall,13.0
India,2022.0,Malware,Telecommunications,19.56,772330.0,Hacker Group,Unpatched Software,Encryption,20.0
Japan,2018.0,Man-in-the-Middle,Telecommunications,81.61,255844.0,Insider,Unpatched Software,Encryption,8.0
Germany,2017.0,Ransomware,Government,80.7,107009.0,Nation-state,Social Engineering,Encryption,67.0
Japan,2020.0,SQL Injection,Retail,10.41,872095.0,Nation-state,Unpatched Software,Firewall,44.0
France,2015.0,DDoS,Banking,85.36,50427.0,Hacker Group,Zero-day,Encryption,5.0
USA,2017.0,Phishing,Retail,15.24,599197.0,Unknown,Zero-day,AI-based Detection,8.0
Brazil,2022.0,Malware,Telecommunications,40.08,459643.0,Nation-state,Weak Passwords,Antivirus,10.0
China,2021.0,DDoS,Telecommunications,10.2,950257.0,Nation-state,Weak Passwords,AI-based Detection,61.0
,2022.0,Phishing,Healthcare,72.53,496317.0,Hacker Group,Weak Passwords,Antivirus,62.0
Brazil,2017.0,Man-in-the-Middle,Healthcare,96.36,596078.0,Hacker Group,Weak Passwords,Encryption,10.0
Brazil,2019.0,Ransomware,Banking,88.63,701522.0,Insider,Social Engineering,VPN,10.0
India,2015.0,Man-in-the-Middle,Healthcare,37.15,357124.0,Nation-state,Weak Passwords,Antivirus,31.0
Germany,2022.0,SQL Injection,Government,,112688.0,Nation-state,Social Engineering,VPN,15.0
India,2018.0,Phishing,Retail,14.46,743107.0,Hacker Group,Social Engineering,VPN,49.0
India,2022.0,Man-in-the-Middle,Banking,32.47,947465.0,Unknown,Unpatched Software,AI-based Detection,69.0
